dep;jour;P;cl_age90;pop
01;2020-06-11;0;09;83001
01;2020-06-11;2;19;84665
01;2020-06-11;2;29;65496
01;2020-06-11;0;39;85588
01;2020-06-11;1;49;89678
01;2020-06-11;0;59;89791
01;2020-06-11;3;69;73500
01;2020-06-11;0;79;51011
01;2020-06-11;0;89;26830
01;2020-06-11;0;90;7395
01;2020-06-11;8;0;656955
01;2020-06-12;0;09;83001
01;2020-06-12;1;19;84665
01;2020-06-12;2;29;65496
01;2020-06-12;0;39;85588
01;2020-06-12;1;49;89678
01;2020-06-12;0;59;89791
01;2020-06-12;0;69;73500
01;2020-06-12;0;79;51011
01;2020-06-12;0;89;26830
01;2020-06-12;0;90;7395
01;2020-06-12;4;0;656955
01;2020-06-13;0;09;83001
01;2020-06-13;0;19;84665
01;2020-06-13;0;29;65496
01;2020-06-13;0;39;85588
01;2020-06-13;0;49;89678
01;2020-06-13;0;59;89791
01;2020-06-13;0;69;73500
01;2020-06-13;0;79;51011
01;2020-06-13;0;89;26830
01;2020-06-13;0;90;7395
01;2020-06-13;0;0;656955
01;2020-06-14;0;09;83001
01;2020-06-14;0;19;84665
01;2020-06-14;0;29;65496
01;2020-06-14;0;39;85588
01;2020-06-14;0;49;89678
01;2020-06-14;1;59;89791
01;2020-06-14;0;69;73500
01;2020-06-14;0;79;51011
01;2020-06-14;0;89;26830
01;2020-06-14;0;90;7395
01;2020-06-14;1;0;656955
01;2020-06-15;0;09;83001
01;2020-06-15;0;19;84665
01;2020-06-15;0;29;65496
01;2020-06-15;0;39;85588
01;2020-06-15;0;49;89678
01;2020-06-15;0;59;89791
01;2020-06-15;0;69;73500
01;2020-06-15;0;79;51011
01;2020-06-15;0;89;26830
01;2020-06-15;0;90;7395
01;2020-06-15;0;0;656955
01;2020-06-16;0;09;83001
01;2020-06-16;1;19;84665
01;2020-06-16;1;29;65496
01;2020-06-16;0;39;85588
01;2020-06-16;0;49;89678
01;2020-06-16;0;59;89791
01;2020-06-16;0;69;73500
01;2020-06-16;0;79;51011
01;2020-06-16;1;89;26830
01;2020-06-16;0;90;7395
01;2020-06-16;3;0;656955
01;2020-06-17;0;09;83001
01;2020-06-17;0;19;84665
01;2020-06-17;0;29;65496
01;2020-06-17;2;39;85588
01;2020-06-17;1;49;89678
01;2020-06-17;0;59;89791
01;2020-06-17;0;69;73500
01;2020-06-17;0;79;51011
01;2020-06-17;0;89;26830
01;2020-06-17;2;90;7395
01;2020-06-17;5;0;656955
01;2020-06-18;1;09;83001
01;2020-06-18;0;19;84665
01;2020-06-18;1;29;65496
01;2020-06-18;2;39;85588
01;2020-06-18;0;49;89678
01;2020-06-18;0;59;89791
01;2020-06-18;0;69;73500
01;2020-06-18;0;79;51011
01;2020-06-18;0;89;26830
01;2020-06-18;0;90;7395
01;2020-06-18;4;0;656955
01;2020-06-19;0;09;83001
01;2020-06-19;0;19;84665
01;2020-06-19;0;29;65496
01;2020-06-19;1;39;85588
01;2020-06-19;0;49;89678
01;2020-06-19;0;59;89791
01;2020-06-19;1;69;73500
01;2020-06-19;0;79;51011
01;2020-06-19;1;89;26830
01;2020-06-19;0;90;7395
01;2020-06-19;3;0;656955
01;2020-06-20;0;09;83001
01;2020-06-20;0;19;84665
01;2020-06-20;0;29;65496
01;2020-06-20;0;39;85588
01;2020-06-20;1;49;89678
01;2020-06-20;1;59;89791
01;2020-06-20;0;69;73500
01;2020-06-20;1;79;51011
01;2020-06-20;0;89;26830
01;2020-06-20;0;90;7395
01;2020-06-20;3;0;656955
01;2020-06-21;0;09;83001
01;2020-06-21;0;19;84665
01;2020-06-21;0;29;65496
01;2020-06-21;0;39;85588
01;2020-06-21;0;49;89678
01;2020-06-21;0;59;89791
01;2020-06-21;0;69;73500
01;2020-06-21;0;79;51011
01;2020-06-21;0;89;26830
01;2020-06-21;0;90;7395
01;2020-06-21;0;0;656955
01;2020-06-22;0;09;83001
01;2020-06-22;2;19;84665
01;2020-06-22;0;29;65496
01;2020-06-22;0;39;85588
01;2020-06-22;1;49;89678
01;2020-06-22;1;59;89791
01;2020-06-22;0;69;73500
01;2020-06-22;0;79;51011
01;2020-06-22;1;89;26830
01;2020-06-22;0;90;7395
01;2020-06-22;5;0;656955
01;2020-06-23;1;09;83001
01;2020-06-23;1;19;84665
01;2020-06-23;3;29;65496
01;2020-06-23;0;39;85588
01;2020-06-23;0;49;89678
01;2020-06-23;2;59;89791
01;2020-06-23;0;69;73500
01;2020-06-23;1;79;51011
01;2020-06-23;2;89;26830
01;2020-06-23;0;90;7395
01;2020-06-23;10;0;656955
01;2020-06-24;0;09;83001
01;2020-06-24;0;19;84665
01;2020-06-24;1;29;65496
01;2020-06-24;0;39;85588
