fra;jour;P_f;P_h;P;pop_f;pop_h;pop;cl_age90
FR;2020-07-06;40;46;87;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-06;55;45;103;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-06;61;52;114;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-06;48;53;102;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-06;36;47;84;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-06;23;39;62;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-06;18;26;44;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-06;14;8;22;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-06;9;4;13;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-06;330;340;681;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-07;21;5;26;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-07;33;27;60;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-07;73;46;119;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-07;67;39;106;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-07;42;33;75;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-07;33;32;65;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-07;31;27;58;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-07;22;13;35;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-07;10;5;15;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-07;8;1;9;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-07;340;228;572;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-08;18;23;41;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-08;42;41;83;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-08;71;71;142;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-08;64;48;113;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-08;59;55;114;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-08;38;59;97;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-08;26;30;56;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-08;11;17;28;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-08;13;6;19;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-08;9;2;11;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-08;351;352;704;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-09;26;26;52;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-09;33;44;77;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-09;78;61;140;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-09;56;64;121;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-09;51;52;103;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-09;42;47;89;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-09;31;28;60;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-09;14;21;35;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-09;10;10;20;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-09;7;2;9;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-09;348;355;708;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-10;40;34;74;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-10;46;47;93;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-10;81;67;150;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-10;95;55;155;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-10;75;51;128;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-10;61;45;107;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-10;35;35;71;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-10;16;20;36;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-10;17;8;25;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-10;8;4;12;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-10;474;366;855;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-11;14;9;23;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-11;14;19;35;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-11;33;24;57;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-11;32;36;69;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-11;26;29;56;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-11;19;23;44;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-11;21;14;35;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-11;9;15;24;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-11;4;3;7;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-11;2;1;3;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-11;174;173;353;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-12;2;1;4;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-12;11;4;16;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-12;11;12;23;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-12;4;3;7;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-12;12;9;21;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-12;6;6;12;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-12;4;6;10;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-12;3;4;7;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-12;5;8;13;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-12;3;1;4;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-12;61;54;117;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-13;25;32;58;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-13;52;54;108;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-13;99;77;176;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-13;87;69;156;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-13;58;59;117;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-13;49;60;109;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-13;39;31;70;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-13;23;28;51;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-13;10;11;21;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-13;10;3;13;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-13;452;424;879;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-14;4;5;9;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-14;14;6;20;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-14;21;18;39;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-14;11;14;25;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-14;13;13;26;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-14;10;16;26;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-14;3;14;17;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-14;2;7;9;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-14;5;5;10;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-14;2;0;2;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-14;85;98;183;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-15;26;35;61;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-15;41;42;83;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-15;67;61;128;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-15;84;80;164;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-15;70;54;124;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-15;66;64;130;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-15;27;39;66;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-15;23;32;55;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-15;15;14;29;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-15;9;4;13;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-15;429;425;858;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-16;23;33;58;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-16;39;52;93;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-16;97;95;193;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-16;106;94;201;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-16;71;82;155;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-16;55;60;115;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-16;43;38;81;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-16;28;23;51;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-16;14;8;22;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-16;5;1;6;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-16;481;487;979;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-17;20;21;43;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-17;37;71;110;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-17;80;80;162;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-17;81;93;176;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-17;66;69;135;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-17;65;53;118;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-17;48;50;98;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-17;35;33;68;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-17;18;13;31;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-17;11;3;14;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-17;461;487;962;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-18;7;19;27;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-18;29;26;56;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-18;56;33;89;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-18;39;42;81;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-18;35;23;58;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-18;26;29;55;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-18;25;12;37;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-18;15;10;25;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-18;5;5;10;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-18;5;2;7;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-18;242;201;446;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-19;1;3;5;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-19;6;12;18;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-19;17;22;42;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-19;13;18;32;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-19;13;20;38;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-19;7;12;20;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-19;6;13;19;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-19;5;6;11;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-19;2;2;4;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-19;2;0;2;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-19;72;108;191;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-20;28;25;53;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-20;59;47;107;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-20;109;97;207;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-20;99;95;194;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-20;58;71;129;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-20;67;66;133;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-20;40;52;93;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-20;31;34;65;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-20;24;11;35;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-20;12;7;19;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-20;527;505;1037;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-21;26;24;50;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-21;73;54;127;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-21;124;102;227;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-21;114;89;203;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-21;82;64;146;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-21;70;63;133;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-21;53;45;99;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-21;40;23;63;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-21;18;20;38;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-21;10;0;10;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-21;610;485;1099;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-22;31;25;57;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-22;69;65;135;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-22;146;104;252;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-22;92;128;221;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-22;82;98;181;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-22;68;62;131;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-22;50;38;88;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-22;30;33;63;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-22;18;9;27;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-22;11;8;19;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-22;597;570;1174;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-23;22;36;58;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-23;70;56;127;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-23;150;128;278;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-23;103;95;199;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-23;81;82;163;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-23;74;45;120;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-23;54;42;96;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-23;33;33;66;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-23;17;12;29;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-23;9;2;11;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-23;613;531;1152;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-24;32;32;65;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-24;70;72;145;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-24;151;134;285;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-24;95;120;215;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-24;76;90;169;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-24;90;82;172;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-24;61;54;115;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-24;33;34;67;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-24;14;15;29;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-24;8;4;12;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-24;630;639;1277;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-25;15;17;34;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-25;30;32;62;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-25;89;66;155;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-25;55;64;119;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-25;37;43;81;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-25;40;35;75;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-25;28;15;44;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-25;18;24;42;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-25;7;6;13;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-25;3;0;3;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-25;322;302;628;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-26;7;10;17;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-26;12;9;22;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-26;39;38;78;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-26;24;15;40;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-26;21;17;38;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-26;5;11;20;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-26;7;13;20;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-26;6;7;13;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-26;6;1;7;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-26;7;2;9;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-26;134;123;264;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-27;30;30;62;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-27;91;71;162;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-27;167;190;360;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-27;123;126;250;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-27;102;100;202;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-27;84;76;160;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-27;67;50;117;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-27;40;22;62;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-27;23;17;40;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-27;12;3;15;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-27;740;686;1433;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-28;25;33;60;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-28;71;62;135;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-28;189;191;380;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-28;130;119;250;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-28;88;82;170;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-28;82;67;149;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-28;58;51;109;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-28;26;32;58;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-28;20;17;37;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-28;11;3;14;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-28;700;659;1370;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-29;22;23;46;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-29;77;93;177;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-29;197;191;389;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-29;126;131;257;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-29;97;89;187;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-29;86;96;182;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-29;63;48;111;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-29;37;34;71;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-29;25;13;38;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-29;10;3;13;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-29;741;723;1477;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-30;28;31;60;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-30;104;91;195;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-30;208;220;428;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-30;146;161;307;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-30;85;80;166;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-30;86;80;166;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-30;66;48;114;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-30;20;29;51;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-30;25;19;44;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-30;16;3;19;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-30;784;762;1552;34692807.7476749;32422187.2523251;67114995;0
FR;2020-07-31;43;43;88;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-07-31;92;107;202;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-07-31;248;227;477;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-07-31;137;154;291;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-07-31;95;92;188;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-07-31;103;83;187;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-07-31;56;51;107;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-07-31;22;34;56;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-07-31;17;10;27;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-07-31;12;3;15;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-07-31;825;804;1638;34692807.7476749;32422187.2523251;67114995;0
FR;2020-08-01;18;23;41;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-08-01;44;46;91;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-08-01;89;115;204;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-08-01;63;82;147;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-08-01;54;35;89;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-08-01;50;48;99;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-01;25;32;57;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-01;17;19;36;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-08-01;8;13;22;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-08-01;6;1;7;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-08-01;374;415;794;34692807.7476749;32422187.2523251;67114995;0
FR;2020-08-02;6;3;9;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-08-02;9;6;16;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-08-02;43;36;79;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-08-02;28;21;49;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-08-02;9;12;21;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-08-02;15;9;24;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-02;9;9;18;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-02;4;15;19;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-08-02;3;5;8;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-08-02;2;2;4;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-08-02;129;118;250;34692807.7476749;32422187.2523251;67114995;0
FR;2020-08-03;35;49;87;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-08-03;127;124;253;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-08-03;307;285;592;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-08-03;192;192;384;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-08-03;143;115;259;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-08-03;89;85;175;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-03;64;67;131;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-03;36;48;84;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-08-03;20;10;30;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-08-03;13;9;22;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-08-03;1029;984;2022;34692807.7476749;32422187.2523251;67114995;0
FR;2020-08-04;51;35;89;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-08-04;105;88;195;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-08-04;307;268;577;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-08-04;179;207;387;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-08-04;132;121;253;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-08-04;108;106;214;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-04;76;50;127;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-04;40;49;89;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-08-04;32;24;56;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-08-04;14;8;22;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-08-04;1044;957;2014;34692807.7476749;32422187.2523251;67114995;0
FR;2020-08-05;38;44;82;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-08-05;99;80;180;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-08-05;281;336;617;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-08-05;175;197;373;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-08-05;120;115;237;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-08-05;108;101;209;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-05;63;65;128;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-05;34;44;78;3096658.17457622;2598980.95622107;5695639.1307973;79
